4 In Love,1001個願望,2001,BMG (索尼體系),索尼,輕快 / 流行,女聲 (團體),,,,,,,,,,,,,,,,
王力宏,大城小愛,2005,Sony BMG,索尼,輕快,男聲,,,,,,,,,,,,,,,,
王力宏,心中的日月,2004,Sony BMG,索尼,快歌,男聲,,,,,,,,,,,,,,,,
王力宏,如果你聽見我的歌,2000,索尼音樂,索尼,抒情,男聲,,,,,,,,,,,,,,,,
王力宏,你不在,2003,索尼音樂,索尼,抒情,男聲,,,,,,,,,,,,,,,,
王力宏,我們的歌,2007,Sony BMG,索尼,輕快搖滾,男聲,,,,,,,,,,,,,,,,
王力宏,依然愛你,2009,Sony BMG,索尼,抒情,男聲,,,,,,,,,,,,,,,,
王力宏,放開你的心,2004,Sony BMG,索尼,快歌,男聲,,,,,,,,,,,,,,,,
王力宏,花田錯,2005,Sony BMG,索尼,快歌,男聲,,,,,,,,,,,,,,,,
王力宏,唯一,2001,索尼音樂,索尼,抒情,男聲,,,,,,,,,,,,,,,,
王力宏,愛的就是你,2001,索尼音樂,索尼,輕快,男聲,,,,,,,,,,,,,,,,
王力宏,愛錯,2004,索尼音樂,索尼,抒情,男聲,,,,,,,,,,,,,,,,
王力宏,落葉歸根,2007,Sony BMG,索尼,抒情,男聲,,,,,,,,,,,,,,,,
王力宏,Kiss Goodbye,2005,Sony BMG,索尼,抒情,男聲,,,,,,,,,,,,,,,,
王力宏,W-H-Y,2003,索尼音樂,索尼,快歌,男聲,,,,,,,,,,,,,,,,
王心凌,心電心,2009,金牌大風,索尼,快歌 / 舞曲,女聲,,,,,,,,,,,,,,,,
可米小子,青春紀念冊,2003,索尼音樂,索尼,快歌,男聲 (團體),,,,,,,,,,,,,,,,
伍思凱,一九九九,2003,索尼音樂,索尼,抒情,男聲,,,,,,,,,,,,,,,,
李玟,真情人,2000,索尼音樂,索尼,快歌,女聲,,,,,,,,,,,,,,,,
李玟,真愛冒險,2000,索尼音樂,索尼,快歌,女聲,,,,,,,,,,,,,,,,
李玟,暗示,2000,索尼音樂,索尼,抒情,女聲,,,,,,,,,,,,,,,,
言承旭,一公尺,2004,索尼音樂,索尼,抒情,男聲,,,,,,,,,,,,,,,,
言承旭,我會很愛你,2009,索尼音樂,索尼,抒情,男聲,,,,,,,,,,,,,,,,
周杰倫,七里香,2004,索尼/阿爾發,索尼,抒情搖滾,男聲,,,,,,,,,,,,,,,,
周杰倫,千里之外,2006,索尼/杰威爾,索尼,抒情,男聲,,,,,,,,,,,,,,,,
周杰倫,牛仔很忙,2007,索尼/杰威爾,索尼,快歌,男聲,,,,,,,,,,,,,,,,
周杰倫,以父之名,2003,索尼/阿爾發,索尼,快歌,男聲,,,,,,,,,,,,,,,,
周杰倫,可愛女人,2000,索尼/阿爾發,索尼,輕快 / R&B,男聲,,,,,,,,,,,,,,,,
周杰倫,回到過去,2002,索尼/阿爾發,索尼,抒情,男聲,,,,,,,,,,,,,,,,
周杰倫,安靜,2001,索尼/阿爾發,索尼,抒情,男聲,,,,,,,,,,,,,,,,
周杰倫,夜曲,2005,索尼/阿爾發,索尼,抒情,男聲,,,,,,,,,,,,,,,,
周杰倫,青花瓷,2007,索尼/杰威爾,索尼,抒情,男聲,,,,,,,,,,,,,,,,
